ASIN,Title,Authors,PurchaseDate
"B0897SS2JP","データ分析のための数理モデル入門　本質をとらえた分析のために","江崎貴裕","2020/7/17"
"B071CD9CMP","データ分析の力　因果関係に迫る思考法 (光文社新書)","伊藤 公一朗","2019/11/30"
"B08BL9JQ1B","データ分析者のためのPythonデータビジュアライゼーション入門 コードと連動してわかる可視化手法","小久保 奈都弥","2020/8/17"
"B07XKXFXCQ","データ収集からWebアプリ開発まで　実践で学ぶ機械学習活用ガイド","吉崎 亮介","2019/11/5"
"B086YQWP8Z","データ活用のための数理モデリング入門","水上 ひろき","2020/8/7"
"B08BHZ4HT3","データ視覚化のデザイン","永田 ゆかり","2020/9/1"
"B00DONBSLA","トヨタの口ぐせ (中経の文庫)","（株）OJTソリューションズ","2019/10/7"
"B07JJKLZNW","ハッキング・ラボのつくりかた 仮想環境におけるハッカー体験学習","IPUSIRON","2019/2/11"
"B0834XJQTY","ファイナンス機械学習―金融市場分析を変える機械学習アルゴリズムの理論と実践","マルコス・ロペス・デ・プラド","2020/2/13"
"B07PBVBB4Q","ブチ抜く力 (扶桑社ＢＯＯＫＳ)","与沢 翼","2019/7/15"
"B087Q2P56J","プログラマーのためのVisual Studio Codeの教科書 (Compass Booksシリーズ)","川崎 庸市","2020/8/6"
"B00SH9TZV6","プログラミング超初心者が初心者になるためのPython入門（１）　セットアップ・文字列・数値編","たっく","2018/8/14"
"B079M1QX66","ベイズ推定入門 モデル選択からベイズ的最適化まで","大関真之","2018/8/20"
"B00FEGO498","ホントにゼロからの簿記３級 『ふくしままさゆきのホントに』シリーズ","ふくしままさゆき","2018/11/11"
"B00E9LM8LK","ボクのArduino工作ノート","鈴木 哲哉","2020/5/18"
"B00BQ90J14","ボクの電子工作ノート","鈴木 哲哉","2020/5/18"
"B00YTGRAFO","マンガでわかる! 情報整理術 〈超入門〉 岡野純のマンガでわかる仕事術 (impress QuickBooks)","岡野 純","2018/11/10"
"B07C9H2HRD","ライフロング・キンダーガーテン　創造的思考力を育む４つの原則","ミッチェル・レズニック","2019/6/6"
"B07L3J8VHB","リーダーが育つ変革プロジェクトの教科書","白川 克","2019/6/19"
"B07L5DGXMC","一人の力で日経平均を動かせる男の投資哲学 (角川書店単行本)","cis","2020/1/26"
"B0824F9XXW","世界「倒産」図鑑　波乱万丈25社でわかる失敗の理由","荒木 博行","2020/6/16"
"B081PYCZKP","世界標準の経営理論","入山 章栄","2020/7/12"
"B07Z7RW44S","事例で学ぶ！あたらしいデータサイエンスの教科書","岩崎 学","2020/1/5"
"B08R632HML","人気ブロガーからあげ先生のとにかく楽しいAI自作教室","からあげ","2020/12/23"
"B00C556K3Y","会社の老化は止められない――未来を開くための組織不可逆論","細谷功","2019/9/21"
"B08Q7RN6XL","分析者のためのデータ解釈学入門　データの本質をとらえる技術","江崎貴裕","2020/12/19"
"B07C3JFK3V","前処理大全［データ分析のためのSQL/R/Python実践テクニック］","本橋 智光","2019/2/23"
"B07WP4YPW8","問題解決ができる！ 武器としてのデータ活用術 高校生・大学生・ビジネスパーソンのためのサバイバルスキル","柏木 吉基","2020/2/21"
"B0748CWPVS","図解 モチベーション大百科","池田貴将","2020/1/26"
"B088BBW2GN","図解 人材マネジメント入門　人事の基礎をゼロからおさえておきたい人のための「理論と実践」100のツボ","坪谷邦生","2020/9/10"
